year,co2,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2
1750,46.755,46.755,0.0,0.0,0.0,0.0,0.0
1751,46.755,46.755,0.0,0.0,0.0,0.0,0.0
1752,46.769999999999996,46.769999999999996,0.0,0.0,0.0,0.0,0.0
1753,46.769999999999996,46.769999999999996,0.0,0.0,0.0,0.0,0.0
1754,46.78999999999999,46.78999999999999,0.0,0.0,0.0,0.0,0.0
1755,46.81,46.81,0.0,0.0,0.0,0.0,0.0
1756,50.03,50.03,0.0,0.0,0.0,0.0,0.0
1757,50.05,50.05,0.0,0.0,0.0,0.0,0.0
1758,50.06999999999999,50.06999999999999,0.0,0.0,0.0,0.0,0.0
1759,50.08500000000001,50.08500000000001,0.0,0.0,0.0,0.0,0.0
1760,50.08500000000001,50.08500000000001,0.0,0.0,0.0,0.0,0.0
1761,54.870000000000005,54.870000000000005,0.0,0.0,0.0,0.0,0.0
1762,54.885000000000005,54.885000000000005,0.0,0.0,0.0,0.0,0.0
1763,54.905,54.905,0.0,0.0,0.0,0.0,0.0
1764,54.925,54.925,0.0,0.0,0.0,0.0,0.0
1765,54.94,54.94,0.0,0.0,0.0,0.0,0.0
1766,61.3,61.3,0.0,0.0,0.0,0.0,0.0
1767,61.315,61.315,0.0,0.0,0.0,0.0,0.0
1768,61.33500000000001,61.33500000000001,0.0,0.0,0.0,0.0,0.0
1769,61.355,61.355,0.0,0.0,0.0,0.0,0.0
1770,61.370000000000005,61.370000000000005,0.0,0.0,0.0,0.0,0.0
1771,68.06,68.06,0.0,0.0,0.0,0.0,0.0
1772,68.075,68.075,0.0,0.0,0.0,0.0,0.0
1773,68.09500000000001,68.09500000000001,0.0,0.0,0.0,0.0,0.0
1774,68.115,68.115,0.0,0.0,0.0,0.0,0.0
1775,68.13,68.13,0.0,0.0,0.0,0.0,0.0
1776,75.185,75.185,0.0,0.0,0.0,0.0,0.0
1777,75.205,75.205,0.0,0.0,0.0,0.0,0.0
1778,75.22,75.22,0.0,0.0,0.0,0.0,0.0
1779,75.24,75.24,0.0,0.0,0.0,0.0,0.0
1780,75.275,75.275,0.0,0.0,0.0,0.0,0.0
1781,84.215,84.215,0.0,0.0,0.0,0.0,0.0
1782,84.23500000000001,84.23500000000001,0.0,0.0,0.0,0.0,0.0
1783,84.27,84.27,0.0,0.0,0.0,0.0,0.0
1784,84.29,84.29,0.0,0.0,0.0,0.0,0.0
1785,84.34099999999998,84.34099999999998,0.0,0.0,0.0,0.0,0.0
1786,95.75599999999999,95.75599999999999,0.0,0.0,0.0,0.0,0.0
1787,95.79100000000001,95.79100000000001,0.0,0.0,0.0,0.0,0.0
1788,95.811,95.811,0.0,0.0,0.0,0.0,0.0
1789,95.84599999999999,95.84599999999999,0.0,0.0,0.0,0.0,0.0
1790,95.88499999999999,95.88499999999999,0.0,0.0,0.0,0.0,0.0
1791,107.096,107.096,0.0,0.0,0.0,0.0,0.0
1792,109.47600000000001,109.47600000000001,0.0,0.0,0.0,0.0,0.0
1793,109.57000000000001,109.57000000000001,0.0,0.0,0.0,0.0,0.0
1794,109.403,109.403,0.0,0.0,0.0,0.0,0.0
1795,109.46,109.46,0.0,0.0,0.0,0.0,0.0
1796,114.755,114.755,0.0,0.0,0.0,0.0,0.0
1797,120.47,120.47,0.0,0.0,0.0,0.0,0.0
1798,125.471,125.471,0.0,0.0,0.0,0.0,0.0
1799,132.14000000000001,132.14000000000001,0.0,0.0,0.0,0.0,0.0
1800,139.95100000000002,139.95100000000002,0.0,0.0,0.0,0.0,0.0
1801,139.262,139.262,0.0,0.0,0.0,0.0,0.0
1802,183.33300000000003,183.33300000000003,0.0,0.0,0.0,0.0,0.0
1803,156.845,156.845,0.0,0.0,0.0,0.0,0.0
1804,170.88,170.88,0.0,0.0,0.0,0.0,0.0
1805,166.41300000000004,166.41300000000004,0.0,0.0,0.0,0.0,0.0
1806,174.56,174.56,0.0,0.0,0.0,0.0,0.0
1807,183.61200000000002,183.61200000000002,0.0,0.0,0.0,0.0,0.0
1808,174.536,174.536,0.0,0.0,0.0,0.0,0.0
1809,174.641,174.641,0.0,0.0,0.0,0.0,0.0
1810,186.062,186.062,0.0,0.0,0.0,0.0,0.0
1811,197.01600000000002,197.01600000000002,0.0,0.0,0.0,0.0,0.0
1812,204.066,204.066,0.0,0.0,0.0,0.0,0.0
1813,205.055,205.055,0.0,0.0,0.0,0.0,0.0
1814,209.51799999999994,209.51799999999994,0.0,0.0,0.0,0.0,0.0
1815,216.236,216.236,0.0,0.0,0.0,0.0,0.0
1816,236.995,236.995,0.0,0.0,0.0,0.0,0.0
1817,245.715,245.715,0.0,0.0,0.0,0.0,0.0
1818,246.652,246.652,0.0,0.0,0.0,0.0,0.0
1819,248.212,248.212,0.0,0.0,0.0,0.0,0.0
1820,251.85299999999995,251.85299999999995,0.0,0.0,0.0,0.0,0.0
1821,255.51699999999997,255.51699999999997,0.0,0.0,0.0,0.0,0.0
1822,265.592,265.592,0.0,0.0,0.0,0.0,0.0
1823,280.945,280.945,0.0,0.0,0.0,0.0,0.0
1824,290.592,290.592,0.0,0.0,0.0,0.0,0.0
1825,301.50699999999995,301.50699999999995,0.0,0.0,0.0,0.0,0.0
1826,304.46599999999995,304.46599999999995,0.0,0.0,0.0,0.0,0.0
1827,326.67699999999996,326.67699999999996,0.0,0.0,0.0,0.0,0.0
1828,329.995,329.995,0.0,0.0,0.0,0.0,0.0
1829,328.381,328.381,0.0,0.0,0.0,0.0,0.0
1830,441.433,441.433,0.0,0.0,0.0,0.0,0.0
1831,418.1049999999999,418.1049999999999,0.0,0.0,0.0,0.0,0.0
1832,419.50300000000004,419.50300000000004,0.0,0.0,0.0,0.0,0.0
1833,426.972,426.972,0.0,0.0,0.0,0.0,0.0
1834,435.6630000000001,435.6630000000001,0.0,0.0,0.0,0.0,0.0
1835,443.595,443.595,0.0,0.0,0.0,0.0,0.0
1836,514.4159999999999,514.4159999999999,0.0,0.0,0.0,0.0,0.0
1837,512.844,512.844,0.0,0.0,0.0,0.0,0.0
1838,530.157,530.157,0.0,0.0,0.0,0.0,0.0
1839,547.0250000000001,547.0250000000001,0.0,0.0,0.0,0.0,0.0
1840,582.9010000000001,582.9010000000001,0.0,0.0,0.0,0.0,0.0
1841,600.6670000000001,600.6670000000001,0.0,0.0,0.0,0.0,0.0
1842,633.6820000000001,633.6820000000001,0.0,0.0,0.0,0.0,0.0
1843,648.735,648.735,0.0,0.0,0.0,0.0,0.0
1844,688.5020000000001,688.5020000000001,0.0,0.0,0.0,0.0,0.0
1845,753.643,753.643,0.0,0.0,0.0,0.0,0.0
1846,763.525,763.525,0.0,0.0,0.0,0.0,0.0
1847,831.8390000000002,831.8390000000002,0.0,0.0,0.0,0.0,0.0
1848,835.4709999999998,835.4709999999998,0.0,0.0,0.0,0.0,0.0
1849,881.068,881.068,0.0,0.0,0.0,0.0,0.0
1850,944.8239999999997,944.8239999999997,0.0,0.0,0.0,0.0,0.0
1851,944.6890000000001,944.6890000000001,0.0,0.0,0.0,0.0,0.0
1852,984.086,984.086,0.0,0.0,0.0,0.0,0.0
1853,1025.62,1025.62,0.0,0.0,0.0,0.0,0.0
1854,1209.253,1209.253,0.0,0.0,0.0,0.0,0.0
1855,1224.3149999999998,1224.132,0.0,0.0,0.0,0.18500000000000003,0.0
1856,1306.205,1306.0039999999997,0.0,0.0,0.0,0.2,0.0
1857,1317.1189999999997,1316.8619999999999,0.0,0.0,0.0,0.255,0.0
1858,1336.4430000000002,1336.1330000000003,0.0,0.0,0.0,0.311,0.0
1859,1414.266,1413.993,0.0,0.0,0.0,0.276,0.0
1860,1556.018,1555.06,0.0,0.0,0.0,0.96,0.0
1861,1644.7310000000002,1641.7540000000004,0.0,0.0,0.0,2.9779999999999998,0.0
1862,1672.915,1668.4300000000003,0.0,0.0,0.0,4.478999999999999,0.0
1863,1776.8480000000004,1772.5560000000005,0.0,0.0,0.0,4.289,0.0
1864,1915.4920000000002,1911.7150000000004,0.0,0.0,0.0,3.7749999999999986,0.0
1865,2040.6370000000002,2036.1420000000007,0.0,0.0,0.0,4.495,0.0
1866,2106.901,2100.1670000000004,0.0,0.0,0.0,6.731999999999998,0.0
1867,2239.312,2232.231,0.0,0.0,0.0,7.087,0.0
1868,2286.1099999999997,2277.7750000000005,0.0,0.0,0.0,8.338999999999999,0.0
1869,2415.536,2406.0440000000003,0.0,0.0,0.0,9.492999999999999,0.0
1870,2462.3350000000005,2450.907,0.0,0.0,0.0,11.425999999999998,0.0
1871,2620.5950000000003,2608.3749999999995,0.0,0.0,0.0,12.216,0.0
1872,2874.998999999999,2861.498999999999,0.0,0.0,0.0,13.495000000000001,0.0
1873,3043.7889999999998,3023.3789999999995,0.0,0.0,0.0,20.411,0.0
1874,2841.3360000000007,2818.9500000000007,0.0,0.0,0.0,22.386000000000003,0.0
1875,3101.247,3079.1920000000005,0.0,0.0,0.0,22.054000000000002,0.0
1876,3155.574999999999,3130.234,0.0,0.0,0.0,25.339999999999996,0.0
1877,3194.069999999999,3160.715,0.0,0.0,0.0,33.354,0.0
1878,3222.2649999999994,3184.728,0.0,0.0,0.0,37.529,0.0
1879,3409.917000000001,3363.251,0.0,0.0,0.0,46.66499999999999,0.0
1880,3852.0930000000003,3796.9659999999994,0.0,0.0,0.0,55.125,0.0
1881,3972.822,3909.3259999999987,0.0,0.0,0.0,63.49900000000002,0.0
1882,4167.419000000002,4097.450000000001,0.0,0.0,0.495,69.477,0.0
1883,4423.18,4358.7429999999995,0.0,0.0,1.143,63.295,0.0
1884,4448.8279999999995,4373.481999999999,0.0,0.0,3.516,71.827,0.0
1885,4476.602000000002,4388.408,0.0,0.0,11.145,77.048,0.0
1886,4523.479,4414.798000000001,0.0,0.0,23.028,85.653,0.0
1887,4734.407999999999,4605.220999999999,0.0,0.0,35.361000000000004,93.827,0.0
1888,5173.387000000001,5023.647,0.0,0.0,50.322,99.412,0.0
1889,5245.503999999998,5096.815999999999,0.0,0.0,36.681,112.00699999999998,0.0
1890,5643.514,5474.05,0.0,0.0,35.06399999999999,134.40800000000002,0.0
1891,5889.458,5704.594,0.0,0.0,26.841,158.02200000000002,0.0
1892,5896.276,5715.134,0.0,0.0,23.325000000000003,157.848,0.0
1893,5800.9180000000015,5608.771000000001,0.0,0.0,21.863999999999997,170.28799999999998,0.0
1894,6090.158,5903.809000000001,0.0,0.0,20.093999999999998,166.255,0.0
1895,6394.252,6176.627000000001,0.0,0.0,21.126,196.49500000000006,0.0
1896,6628.9710000000005,6398.635000000001,0.0,0.0,20.544,209.79400000000004,0.0
1897,6947.822,6701.852000000002,0.0,0.0,21.863999999999997,224.105,0.0
1898,7284.794999999997,7023.538999999999,0.0,0.0,25.380000000000003,235.86800000000005,0.0
1899,7900.055000000004,7618.986000000001,0.0,0.0,32.712,248.35699999999997,0.0
1900,8325.814000000002,8008.306999999998,4.1579999999999995,0.0,34.626,278.719,0.0
1901,8507.804000000002,8155.586000000001,4.968,0.0,38.583,308.66600000000005,0.0
1902,8666.734,8294.535,6.4350000000000005,0.0,41.096,324.672,0.0
1903,9335.712,8947.635,7.599,0.0,43.592,336.892,0.0
1904,9465.048999999999,9037.607000000002,8.196,0.0,45.505,373.745,0.0
